,Datetime,ITM,Product,Instrument,B/S,Price,FillQty,multilegreportingtype,TTOrderId,FirstLeg,SecondLeg,Structure,Algo,Tag,Parent_tag,Parent_firstleg,Tenore,start,id,Hedged,Final_Index
0,2022-03-01 09:15:21.940,ACY,G,G Sep22-Oct22 Calendar,Buy,6.75,1,3,0803c05c-d350-407f-934c-6238cd478843,Sep22,Oct22,Spread,COMPLEX,1mo Spread,1mo Spread,Sep22,1,2022-09-01 00:00:00.000,5Ar23ynzCqqEJFyiwAuHW1,,G Sep22
1,2022-03-01 09:15:21.940,ACY,G,G Sep22,Buy,795.25,1,2,0803c05c-d350-407f-934c-6238cd478843,Sep22,Sep22,Outright,COMPLEX,Outright,1mo Spread,Sep22,0,2022-09-01 00:00:00.000,HcZ3l5Uo3lM66i9Ol2APrJ,,G Sep22
2,2022-03-01 09:15:21.940,ACY,G,G Oct22,Sell,788.5,-1,2,0803c05c-d350-407f-934c-6238cd478843,Oct22,Oct22,Outright,COMPLEX,Outright,1mo Spread,Sep22,0,2022-10-01 00:00:00.000,Dvj26xbhcWWLeqVCPqaWVy,,G Oct22
3,2022-03-01 09:15:21.940,ACY,G,G Sep22-Oct22 Calendar,Buy,6.75,1,3,0803c05c-d350-407f-934c-6238cd478843,Sep22,Oct22,Spread,COMPLEX,1mo Spread,1mo Spread,Sep22,1,2022-09-01 00:00:00.000,3SOgB5JO1ByKZz5cQjISoI,,G Sep22
4,2022-03-01 09:15:21.940,ACY,G,G Sep22,Buy,795.25,1,2,0803c05c-d350-407f-934c-6238cd478843,Sep22,Sep22,Outright,COMPLEX,Outright,1mo Spread,Sep22,0,2022-09-01 00:00:00.000,7kbZ9Q01eDJ3qDciccJODl,,G Sep22
5,2022-03-01 09:15:21.940,ACY,G,G Oct22,Sell,788.5,-1,2,0803c05c-d350-407f-934c-6238cd478843,Oct22,Oct22,Outright,COMPLEX,Outright,1mo Spread,Sep22,0,2022-10-01 00:00:00.000,9tVERLNP0LAGJSEELuk4Zr,,G Oct22
6,2022-03-01 09:15:21.940,ACY,G,G Sep22-Oct22 Calendar,Buy,6.75,1,3,0803c05c-d350-407f-934c-6238cd478843,Sep22,Oct22,Spread,COMPLEX,1mo Spread,1mo Spread,Sep22,1,2022-09-01 00:00:00.000,caqraHN70N9EoeLDwMrkY,,G Sep22
7,2022-03-01 09:15:21.940,ACY,G,G Sep22,Buy,795.25,1,2,0803c05c-d350-407f-934c-6238cd478843,Sep22,Sep22,Outright,COMPLEX,Outright,1mo Spread,Sep22,0,2022-09-01 00:00:00.000,7EVJTiG8igw3SRnocJtTh3,,G Sep22
8,2022-03-01 09:15:21.940,ACY,G,G Oct22,Sell,788.5,-1,2,0803c05c-d350-407f-934c-6238cd478843,Oct22,Oct22,Outright,COMPLEX,Outright,1mo Spread,Sep22,0,2022-10-01 00:00:00.000,B6HLuOBPLPuHPjsW1v4SSW,,G Oct22
9,2022-03-01 09:15:21.940,ACY,G,G Sep22-Oct22 Calendar,Buy,6.75,1,3,0803c05c-d350-407f-934c-6238cd478843,Sep22,Oct22,Spread,COMPLEX,1mo Spread,1mo Spread,Sep22,1,2022-09-01 00:00:00.000,LuzvvhPRxVx1e0SIh6FN9H,,G Sep22
10,2022-03-01 09:15:21.940,ACY,G,G Sep22,Buy,795.25,1,2,0803c05c-d350-407f-934c-6238cd478843,Sep22,Sep22,Outright,COMPLEX,Outright,1mo Spread,Sep22,0,2022-09-01 00:00:00.000,GgHMdI0116A5RPrun4zuSX,,G Sep22
11,2022-03-01 09:15:21.940,ACY,G,G Oct22,Sell,788.5,-1,2,0803c05c-d350-407f-934c-6238cd478843,Oct22,Oct22,Outright,COMPLEX,Outright,1mo Spread,Sep22,0,2022-10-01 00:00:00.000,KHlJSUVqj52wAqXhYiwnf,,G Oct22
12,2022-03-01 09:15:25.340,ACY,G,G Sep22-Oct22 Calendar,Buy,6.75,1,3,0803c05c-d350-407f-934c-6238cd478843,Sep22,Oct22,Spread,COMPLEX,1mo Spread,1mo Spread,Sep22,1,2022-09-01 00:00:00.000,8gzIzTSqOgvBthRq0AVz2O,,G Sep22
13,2022-03-01 09:15:25.340,ACY,G,G Sep22,Buy,795.5,1,2,0803c05c-d350-407f-934c-6238cd478843,Sep22,Sep22,Outright,COMPLEX,Outright,1mo Spread,Sep22,0,2022-09-01 00:00:00.000,4ZbvMP4rPUSBQJ1RO8u9cm,,G Sep22
